project name,version,#commit,,,#change_Loc,,,#author,,
,,mc(A),mc(B),average(P),mc(A),mc(B),average(P),mc(A),mc(B),average(P)
junit4,r4.12-beta-2,0.080365297,0.025620878,3.136711228,2.43196347,2.602693981,0.934402388,0.020091324,0.002834292,7.088657061
,r4.12-beta-3,0.080365297,0.025472405,3.154994479,2.43196347,2.586780987,0.940150512,0.020091324,0.002830267,7.098738034
,r4.12,0.080365297,0.025522235,3.148834624,2.43196347,2.587094626,0.940036536,0.020091324,0.002885122,6.963769296
,r4.13-beta-1,0.090106007,0.031217295,2.886413021,2.492932862,2.604879945,0.957024091,0.025618375,0.004365637,5.868187163
,r4.13-beta-2,0.090106007,0.031323789,2.876599884,2.492932862,2.605403951,0.956831612,0.025618375,0.004393699,5.830707793
,r4.13-beta-3,0.090909091,0.031595294,2.877298505,2.491615181,2.606462402,0.955937511,0.025595763,0.004419758,5.791213682
,r4.13-rc-1,0.094222222,0.031816688,2.961408868,2.528888889,2.613121023,0.967765697,0.025777778,0.004451349,5.791003581
,r4.13-rc-2,0.094222222,0.031806654,2.962343131,2.528888889,2.611099508,0.968514942,0.025777778,0.004445771,5.798269412
,r4.13,0.094222222,0.031806654,2.962343131,2.528888889,2.611099508,0.968514942,0.025777778,0.004445771,5.798269412
,r4.13.1,0.094222222,0.032013103,2.943239276,2.528888889,2.608993448,0.969296757,0.025777778,0.004496724,5.732568421
,r4.13.2,0.095111111,0.032133752,2.959850759,2.532444444,2.611549179,0.969709651,0.026666667,0.004565127,5.841385574
Sentinel,0.1.2,0.007420091,0.00121021,6.131242512,1.070776256,1.01771307,1.052139632,0.001141553,0.000183365,6.225570776
,0.2.0,0.011764706,0.00225164,5.224949814,1.076470588,1.083116581,0.99386401,0.001176471,0.000310571,3.788088235
,1.3.0,0.014450867,0.003099984,4.66159406,1.102890173,1.120977868,0.98386436,0.001734104,0.000470884,3.68265896
,1.3.1,0.016129032,0.003652678,4.415673103,1.123271889,1.140985429,0.984475227,0.001728111,0.000555842,3.108994404
,1.4.0,0.020612117,0.004285884,4.809303518,1.580886946,1.164689075,1.357346763,0.001873829,0.00067463,2.777565492
,1.4.1,0.020612117,0.004809967,4.28529281,1.580886946,1.180965147,1.338639797,0.001873829,0.000788519,2.376389756
,1.4.2,0.020612117,0.005567529,3.702202,1.580886946,1.194279813,1.323715706,0.001873829,0.001122486,1.669356652
,1.5.0,0.023485785,0.006314405,3.719397948,1.64894932,1.222407367,1.348936013,0.001854141,0.001359351,1.363989792
,1.5.1,0.024088944,0.006813786,3.535324414,1.648548487,1.230218041,1.340045774,0.002470661,0.001538597,1.605788406
,1.5.2,0.024088944,0.00689837,3.49197622,1.648548487,1.232215827,1.337873164,0.002470661,0.001537853,1.606564899
,1.6.0,0.024088944,0.007045316,3.419143158,1.648548487,1.231147256,1.339034367,0.002470661,0.001565626,1.578066022
,1.6.1,0.024088944,0.007296749,3.301325563,1.648548487,1.232891499,1.337139958,0.002470661,0.001554337,1.589527143
,1.6.2,0.024088944,0.007413154,3.249486521,1.648548487,1.234117748,1.335811343,0.002470661,0.00155159,1.592340951
,1.6.3,0.024088944,0.007582612,3.17686623,1.648548487,1.237990608,1.331632467,0.002470661,0.001637155,1.509118689
,1.7.0,0.024489796,0.008454614,2.896619053,1.632069971,1.29515437,1.260135477,0.002915452,0.001766636,1.650284604
,1.7.1,0.024489796,0.008775982,2.790547656,1.632069971,1.298005459,1.257367571,0.002915452,0.001847575,1.577988338
,1.8.1,0.031284303,0.011146217,2.806719356,1.85949506,1.408460593,1.320232223,0.007683864,0.002676847,2.870490004
,1.8.2,0.03239978,0.011496756,2.818167142,1.880834706,1.409789662,1.334124343,0.008786381,0.003004834,2.924082165
,1.8.3,0.032930845,0.01164769,2.827242569,1.891328211,1.414430921,1.337165487,0.009330406,0.003097326,3.012407044
,1.8.4,0.032930845,0.011975266,2.749905096,1.891328211,1.416129594,1.335561532,0.009330406,0.003353074,2.782642166
,1.8.5,0.032930845,0.011975266,2.749905096,1.891328211,1.416129594,1.335561532,0.009330406,0.003353074,2.782642166
,1.8.6,0.033224401,0.012146807,2.735237417,1.88453159,1.4167356,1.330192867,0.009803922,0.003439418,2.850459171
AxonFramework,axon-3.3.1,0.031609689,0.010992739,2.875506096,1.59895207,1.37901578,1.15948787,0.002233293,0.000505153,4.421020648
,axon-3.3.3,0.031948608,0.011155858,2.863841328,1.60137045,1.388151605,1.153599105,0.002226981,0.000511875,4.3506361
,axon-3.3.5,0.032348925,0.01119622,2.889272023,1.601997269,1.388948248,1.15338874,0.002304541,0.00051918,4.438812772
,axon-3.3.7,0.033052936,0.011350064,2.912136445,1.606083779,1.39125046,1.154417429,0.002379132,0.00055586,4.280089929
,axon-3.4.1,0.034602959,0.011755854,2.943466253,1.636541405,1.398149459,1.170505338,0.002380548,0.000588538,4.044851582
,axon-3.4.3,0.034614406,0.011907147,2.90702778,1.635191312,1.399686927,1.168255044,0.002460338,0.000600921,4.094275237
,axon-4.0,0.043114663,0.016848674,2.558935073,1.680170972,1.835777431,0.915236751,0.00390262,0.00150806,2.587840999
,axon-4.0.1,0.043429637,0.016954425,2.561551681,1.69860205,1.839010733,0.923649884,0.003914259,0.001503603,2.603252242
,axon-4.1,0.044351159,0.017858976,2.483410011,1.734623106,1.906189059,0.909995312,0.004380361,0.001590886,2.753410382
,axon-4.1.2,0.044351159,0.017980068,2.466684744,1.734623106,1.910099661,0.908132252,0.004380361,0.001643892,2.664628582
,axon-4.2.1,0.045577862,0.018523256,2.460575029,1.750045216,1.910914394,0.915815602,0.005064207,0.001790923,2.827708446
,axon-4.3.1,0.048122257,0.020686485,2.326265527,1.820842139,2.00112371,0.909909832,0.004877256,0.001838799,2.652414242
,axon-4.4.1,0.049325193,0.020892639,2.360888547,1.849132391,2.018300122,0.916183064,0.00498072,0.001830012,2.721686661
,axon-4.5.1,0.050386349,0.021653644,2.326922405,1.859787508,2.018436239,0.921400177,0.005312299,0.001940657,2.737371641
,axon-4.6.1,0.054112868,0.024130799,2.242481429,1.954011316,2.092534226,0.933801365,0.005802989,0.002314587,2.507137985
bus,5.5.2,0.007399847,0.000718525,10.29865649,1.640129285,1.811991044,0.905153086,0.000255167,1.56E-05,16.33579995
,5.6.1,0.008526603,0.000928846,9.17977933,2.360163711,1.977938591,1.193244179,0.000255798,2.62E-05,9.748925648
,5.8.5,0.009968433,0.001121176,8.891054297,2.507060974,2.353368481,1.065307449,0.000249211,2.61E-05,9.557883369
,v6.0.5,0.12164751,0.002075677,58.60619481,2.591954023,2.952222239,0.877967109,0.002873563,3.72E-05,77.24942529
,v6.1.6,0.13047619,0.002837067,45.98982281,2.685714286,3.087940817,0.869742798,0.002857143,4.12E-05,69.28685714
,v6.3.3,0.166850829,0.004234175,39.40574687,2.745856354,3.369078922,0.815016928,0.00441989,4.83E-05,91.44220994
,v6.5.8,0.177653631,0.005050557,35.17505791,2.872625698,3.508012113,0.81887565,0.004469274,5.13E-05,87.07486034
argouml,VERSION_0_26_2,0.003294118,0.002069819,1.591500717,0.129270588,0.168024459,0.769355776,0.000376471,3.47E-05,10.84700749
,VERSION_0_28_1,0.0066305,0.003496333,1.896415347,0.24978903,0.265247808,0.941719488,0.000421941,3.89E-05,10.8411744
,VERSION_0_30_2,0.009637735,0.004748278,2.029732551,0.352230852,0.46350175,0.759934244,0.000566926,3.91E-05,14.49284147
,VERSION_0_32_2,0.012026665,0.005520433,2.178572565,0.409937461,0.482362938,0.849852733,0.000687238,3.92E-05,17.54349424
,VERSION_0_34,0.013163605,0.006646028,1.980672345,0.441197743,0.533238437,0.827392987,0.000723275,4.31E-05,16.76790662
,VERSION_0_35_1,0.013730142,0.006743732,2.035985783,0.540435626,0.578089497,0.93486498,0.000790741,4.64E-05,17.05233269
apollo,v0.6.0,0.01549966,0.006064609,2.555755862,1.075186948,0.844151555,1.273689472,0.000543848,0.000180137,3.019079923
,0.6.2,0.015568862,0.005877274,2.648993734,1.0916833,0.853653102,1.27883715,0.000532269,0.000194981,2.729850601
,v0.6.3,0.015701929,0.005948906,2.639464971,1.091949434,0.85444639,1.277961317,0.000532269,0.00019459,2.735335834
,v0.7.0,0.016687184,0.005838198,2.858276475,1.174394748,0.891002919,1.318059372,0.000683901,0.000182444,3.748552981
,v0.8.0,0.017027653,0.005937323,2.867900736,1.181582891,0.899710878,1.313291769,0.000817327,0.000180701,4.52309063
,v0.9.0,0.017876344,0.006102453,2.929370206,1.203360215,0.936301087,1.285227831,0.001075269,0.000218813,4.914100168
