score,SMQ,ODD,IDD,SPREAD,FOUCUS,ICF,ECF,REI,CHM,CHD,module_name,scoh,scop,odd,idd,spread,focus,icf,ecf,rei,chm,chd,DSM,class_name,c_chm,c_chd,CBC,c_FAN_IN,c_FAN_OUT,IDCC,IODD,IIDD,EDCC,NOP,NAC,NDC,NOI,NOID,RFC,NOSI,CTM,c_variablesQty,NOM,WMC,privateMethodsQty,NOVM,CIS,protectedMethodsQty,staticMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,NOF,publicFieldsQty,privateFieldsQty,protectedFieldsQty,staticFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,TCC,LCC,LCOM,LOCM*,c_modifiers
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo.adminservice,0.0,0.0093,0.013,0.0,0.0128,0.013,0.0,0.0089,0.0,0.75,0.6,2,com.ctrip.framework.apollo.adminservice.AdminServiceApplication,1.0000,1.0000,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo.adminservice,0.0,0.0093,0.013,0.0,0.0128,0.013,0.0,0.0089,0.0,0.75,0.6,2,com.ctrip.framework.apollo.adminservice.AdminServiceHealthIndicator,0.5000,0.2000,1,0,1,0,0,0,1,0,1,0,0,0,2,0,1,3,2,2,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo,0.0408,0.281,0.039,0.026,0.0256,0.0506,0.0204,0.0096,0.4706,0.49686147186147184,0.38307977736549165,7,com.ctrip.framework.apollo.LocalAdminServiceApplication,1.0000,1.0000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo,0.0408,0.281,0.039,0.026,0.0256,0.0506,0.0204,0.0096,0.4706,0.49686147186147184,0.38307977736549165,7,com.ctrip.framework.apollo.ConfigService,0.1864,0.1816,5,4,1,2,0,2,3,0,1,0,0,4,9,1,4,6,11,11,3,8,3,0,8,5,0,0,0,4,0,4,0,1,0,1,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo,0.0408,0.281,0.039,0.026,0.0256,0.0506,0.0204,0.0096,0.4706,0.49686147186147184,0.38307977736549165,7,com.ctrip.framework.apollo.BaseIntegrationTest,0.2917,0.1667,4,1,3,1,1,0,3,0,1,1,0,1,6,2,5,19,9,9,1,8,3,5,2,0,0,0,0,12,0,6,6,10,0,5,0,0,0,0,0,1025
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo,0.0408,0.281,0.039,0.026,0.0256,0.0506,0.0204,0.0096,0.4706,0.49686147186147184,0.38307977736549165,7,com.ctrip.framework.apollo.ConfigServiceTest,1.0000,0.3333,1,0,1,1,1,0,0,0,1,0,0,0,9,6,9,13,5,5,0,5,5,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo,0.0408,0.281,0.039,0.026,0.0256,0.0506,0.0204,0.0096,0.4706,0.49686147186147184,0.38307977736549165,7,com.ctrip.framework.apollo.LocalConfigServiceApplication,1.0000,1.0000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo,0.0408,0.281,0.039,0.026,0.0256,0.0506,0.0204,0.0096,0.4706,0.49686147186147184,0.38307977736549165,7,com.ctrip.framework.apollo.Apollo,-1.0000,-1.0000,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo,0.0408,0.281,0.039,0.026,0.0256,0.0506,0.0204,0.0096,0.4706,0.49686147186147184,0.38307977736549165,7,com.ctrip.framework.apollo.LocalPortalApplication,1.0000,1.0000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.6471774615384616,-0.2998,0.036,0.036,0.0143,0.0272,0.0507,0.0045,0.043,0.5204,0.3511,com.ctrip.framework.apollo.adminservice.aop,0.25,0.5262,0.0649,0.0,0.0128,0.0032,0.0,0.0013,0.0,0.6821924603174604,0.3410383597883598,2,com.ctrip.framework.apollo.adminservice.aop.NamespaceLockAspect,0.7215,0.4499,10,1,9,1,0,1,9,0,1,0,0,0,16,0,13,12,9,9,3,6,4,0,0,2,0,0,0,5,0,5,0,1,0,1,0,0,0,0,0,1
