project name,SCORE,DL,Average(SCORE)
spring-cloud-netflix-example,0.416666667,99.52%,0.6443
sample-kafka-micronaut-microservices,0.441110714,100%,0.6443
sample-spring-microservices-new,0.44818,93.04%,0.6443
microservice-istio,0.453438462,92.71%,0.6443
bdd-pact-microservices,0.4795575,92.10%,0.6443
Realtime-Streaming-DataMicroservices-AppMicroservices,0.495726923,94.05%,0.6443
McPaspaoTakeAway,0.544194444,97.02%,0.6443
jpetstore-6,0.55587,78.41%,0.6443
eventuate-tram-examples-java-spring-todo-list,0.559235,96.09%,0.6443
ArtOfIllusion,0.569110714,29.56%,0.6443
coolstore-microservice,0.57760625,96.02%,0.6443
microservice-kubernetes,0.581143182,100%,0.6443
simultaneous-viewing-limit-system,0.586113333,94.94%,0.6443
event-stream-processing-microservices,0.597657653,97.10%,0.6443
stock-price-viewer-microservices-part1,0.607142857,92.72%,0.6443
spring-boot-microservices,0.6073375,99.39%,0.6443
qbike,0.608208036,100%,0.6443
eventuate-tram-examples-customers-and-orders,0.612894444,87.98%,0.6443
sample-spring-chaosmonkey,0.615384615,100%,0.6443
microservice,0.617326786,99.66%,0.6443
LakesideMutual,0.618305603,87.85%,0.6443
sample-spring-microservices-advanced,0.618407895,89.44%,0.6443
junit4,0.629047917,71.30%,0.6443
tictactoe-microservices-example,0.6335,98.75%,0.6443
java-microservice,0.633516406,93.13%,0.6443
microservices-event-sourcing,0.638915789,92.12%,0.6443
event-sourcing-microservices-example,0.641189286,94.90%,0.6443
spring-cloud-microservice-examples,0.642495968,100%,0.6443
spring-microservices-k8s,0.64444,87.43%,0.6443
piggymetrics,0.646513514,90.75%,0.6443
spring-cloud-microservices-on-kubernetes,0.65,100%,0.6443
playing-with-java-microservices-book-code,0.650204545,93.82%,0.6443
cqrs-microservice-sampler,0.650466071,93.06%,0.6443
microservices,0.65625,98.33%,0.6443
ftgo-application,0.658841667,92.09%,0.6443
TeaStore,0.66309881,91.03%,0.6443
spring-petclinic-microservices,0.666661765,96.59%,0.6443
Jupiter,0.667085937,79.88%,0.6443
microservices-basics-spring-boot,0.674107143,98.83%,0.6443
novel-cloud,0.674405882,97.76%,0.6443
alibabacloud-microservice-demo,0.680989407,98.87%,0.6443
MicroService1,0.690152778,92.39%,0.6443
customers-accounts-and-money-transfers,0.690935795,92.55%,0.6443
gravitee-gateway,0.691297727,84.91%,0.6443
sentilo,0.693606211,96.65%,0.6443
vertx-blueprint-microservice,0.697118919,96.30%,0.6443
sitewhere,0.699901946,98.90%,0.6443
spring-boot-microservices-series,0.7,98.57%,0.6443
jhipster-ribbon-hystrix,0.707504,99.77%,0.6443
kraker-info,0.708333333,98.95%,0.6443
argouml,0.712148058,61.35%,0.6443
Sentinel,0.713248671,90.74%,0.6443
micronaut-microservices-poc,0.718173,94.23%,0.6443
staffjoy,0.720387662,97.22%,0.6443
gpmall,0.722054787,95.87%,0.6443
apollo,0.723120113,93.83%,0.6443
AxonFramework,0.72461875,91.59%,0.6443
event-driven-restaurant,0.726142857,96.66%,0.6443
Spring5Microservices,0.726483333,95.41%,0.6443
onemall,0.727855959,95.55%,0.6443
train-ticket,0.747341768,98.40%,0.6443
sample-spring-microservices,0.75,95.24%,0.6443
tiny-movie-catalog-microservice-app,0.75,93.76%,0.6443
microservices-with-spring,0.763888889,97.73%,0.6443
microservices-sample,0.764705882,99.92%,0.6443
