module_name,class_name,method_name,startLine,CBM,m_FAN_IN,m_FAN_OUT,IDMC,EDMC,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,m_variablesQty,parametersQty,m_modifier
$,$.Application,$.Application.main,23,0,0,0,0,0,False,0,0,0,0,0
$,$.HelloConsumer,$.HelloConsumer.invokeHello,26,0,0,0,0,0,False,0,0,0,0,0
$,$.HelloImpl,$.HelloImpl.hello,28,0,0,0,0,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.ClassConfig,org.apache.servicecomb.common.javassist.ClassConfig.isIntf,39,1,1,0,1,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.ClassConfig,org.apache.servicecomb.common.javassist.ClassConfig.setIntf,43,2,2,0,1,1,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.ClassConfig,org.apache.servicecomb.common.javassist.ClassConfig.getClassName,47,1,1,0,1,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.ClassConfig,org.apache.servicecomb.common.javassist.ClassConfig.setClassName,51,5,5,0,1,4,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.ClassConfig,org.apache.servicecomb.common.javassist.ClassConfig.addInterface,59,0,0,0,0,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.ClassConfig,org.apache.servicecomb.common.javassist.ClassConfig.getIntfList,63,1,1,0,1,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.ClassConfig,org.apache.servicecomb.common.javassist.ClassConfig.getFieldList,67,1,1,0,1,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.ClassConfig,org.apache.servicecomb.common.javassist.ClassConfig.addField,79,1,0,1,1,0,False,0,2,0,0,1
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.ClassConfig,org.apache.servicecomb.common.javassist.ClassConfig.addMethod,98,1,0,1,1,0,False,0,3,1,0,1
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.ClassConfig,org.apache.servicecomb.common.javassist.ClassConfig.getMethodList,105,1,1,0,1,0,False,0,0,0,0,0
org.apache.servicecomb.common.javassist,org.apache.servicecomb.common.javassist.CtType,org.apache.servicecomb.common.javassist.CtType.CtType,45,2,0,2,2,0,False,0,4,2,0,3
